login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
cassidoo,cassidoo/accordion,2020-01-23T13:19:32Z,17,17,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/agagd,2023-11-20T05:21:51Z,1,1,,TRUE,FALSE,mit
cassidoo,cassidoo/ama,2020-06-09T02:22:18Z,62,62,,FALSE,FALSE,
cassidoo,cassidoo/ASL2048,2014-03-20T14:29:23Z,0,0,CSS,TRUE,TRUE,mit
cassidoo,cassidoo/astro,2021-09-14T06:35:07Z,0,0,,TRUE,FALSE,other
cassidoo,cassidoo/astro-docs,2021-07-06T20:04:04Z,0,0,,TRUE,TRUE,
cassidoo,cassidoo/astro-netlify-starter,2021-07-06T20:16:41Z,68,68,Astro,TRUE,TRUE,
cassidoo,cassidoo/astro-react-vue-demo,2021-06-24T22:26:44Z,49,49,CSS,TRUE,TRUE,
cassidoo,cassidoo/astro-redirects-example,2023-01-01T00:47:59Z,7,7,Astro,TRUE,TRUE,
cassidoo,cassidoo/astro-vt-demo,2024-03-30T18:21:43Z,2,2,Astro,TRUE,TRUE,
cassidoo,cassidoo/astroship,2023-02-14T17:56:56Z,1,1,Astro,TRUE,TRUE,gpl-3.0
cassidoo,cassidoo/avocado-labs-demo,2020-06-30T16:57:43Z,5,5,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/awesome-newsletters,2022-07-16T05:17:18Z,5,5,,TRUE,TRUE,
cassidoo,cassidoo/babel-plugin-root-import,2019-01-15T18:53:02Z,0,0,JavaScript,TRUE,FALSE,mit
cassidoo,cassidoo/Balance,2014-03-29T17:19:24Z,1,1,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/better-security-questions,2022-06-20T04:57:39Z,142,142,JavaScript,FALSE,FALSE,isc
cassidoo,cassidoo/blahg,2022-08-24T05:27:50Z,239,239,Astro,TRUE,FALSE,
cassidoo,cassidoo/book-rating-demo,2020-09-16T02:16:42Z,26,26,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/brainstorm-buddy-extension,2024-09-23T15:53:44Z,15,15,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/calendso,2021-09-20T05:56:02Z,1,1,TypeScript,TRUE,FALSE,other
cassidoo,cassidoo/call-it-what-it-is,2019-07-15T22:16:41Z,42,42,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/carbon-copy,2016-12-02T05:17:09Z,1,1,HTML,TRUE,TRUE,
cassidoo,cassidoo/cardstock,2021-10-22T16:53:27Z,98,98,CSS,FALSE,FALSE,mit
